chosen-taxiId:65, reqId:18, taxiLoc:6008, startLoc:5899, descLoc:1833, wait:-2.401579316069899
chosen-taxiId:17, reqId:26, taxiLoc:38, startLoc:142, descLoc:1567, wait:-1.3165120500107008
chosen-taxiId:51, reqId:75, taxiLoc:3568, startLoc:1193, descLoc:7079, wait:-2.5241877278113023
chosen-taxiId:82, reqId:82, taxiLoc:5167, startLoc:5317, descLoc:3976, wait:-2.0140710694060076
chosen-taxiId:12, reqId:118, taxiLoc:8442, startLoc:2251, descLoc:1709, wait:-1.4709051689249932
chosen-taxiId:93, reqId:119, taxiLoc:6023, startLoc:3244, descLoc:2697, wait:-0.1440228307913003
chosen-taxiId:57, reqId:57, taxiLoc:8765, startLoc:3567, descLoc:3578, wait:-1.4025014562576956
chosen-taxiId:5, reqId:43, taxiLoc:5982, startLoc:5673, descLoc:9902, wait:-4.36092908083311
chosen-taxiId:43, reqId:95, taxiLoc:6545, startLoc:9426, descLoc:9611, wait:-2.0781926481811936
chosen-taxiId:4, reqId:107, taxiLoc:1382, startLoc:1349, descLoc:3510, wait:-0.6357292927388016
chosen-taxiId:72, reqId:111, taxiLoc:3291, startLoc:2260, descLoc:1319, wait:-25.227174100348797
chosen-taxiId:8, reqId:17, taxiLoc:7007, startLoc:6169, descLoc:4765, wait:-0.6535451255382014
chosen-taxiId:13, reqId:22, taxiLoc:4679, startLoc:5110, descLoc:323, wait:-0.9459451345625993
chosen-taxiId:44, reqId:48, taxiLoc:6446, startLoc:8274, descLoc:9841, wait:-26.0125376832011
chosen-taxiId:27, reqId:91, taxiLoc:6226, startLoc:500, descLoc:9458, wait:-24.496986477236995
chosen-taxiId:29, reqId:112, taxiLoc:4239, startLoc:1028, descLoc:6721, wait:-1.3305040773380057
chosen-taxiId:6, reqId:50, taxiLoc:2203, startLoc:8456, descLoc:2258, wait:-0.7998787725291976
chosen-taxiId:20, reqId:62, taxiLoc:6254, startLoc:5203, descLoc:3124, wait:-0.34612286829069916
